catalogId,movieName,genre,rarity,cityUnlock,sagaId,sagaOrder,isLegendary,posterFile,tagline
Comedy_Double_Booked,M On Day Morn In G,Comedy,Rare,5,,0,0,mondaymorning.jpg,Two weddings. One venue. Zero adults in charge.
Comedy_Improv_Nation,The Last Day Of F,Comedy,Rare,5,,0,0,thelastdayoff.jpg,Nationwide improv tournament. No one is ready.
Comedy_Pizza_Tribunal,The Newneighbors,Comedy,Rare,5,,0,0,thenewneighbors.jpg,Delivery dispute escalates to municipal court.
Comedy_Side_Gig,The Wr On Gwedd In G,Comedy,Rare,5,,0,0,thewrongwedding.jpg,A temp job becomes a permanent comedy of errors.
Comedy_The_Great_Mix_Up,The Gre At Mix-Up,Comedy,Rare,5,,0,0,thegreatmix-up.jpg,Identical bags. Identical chaos.
Comedy_Uncle_Gary_VI,The Ye A Reveryth In Gbroke,Comedy,Rare,5,,0,0,theyeareverythingbroke.jpg,Gary's wedding. Everyone else pays the price.
Comedy_Uncle_Gary_VII,Uncleg A Ry'Spl An,Comedy,Rare,5,,0,0,unclegary'splan.jpg,Final Gary. Maximum Gary. Still somehow charming.
Comedy_Uncle_Gary_VIII,Welcome Home Steve,Comedy,Rare,5,,0,0,welcomehome,steve.jpg,The Gary saga ends. Gary disagrees.
Comedy_Legendary,Detective Potato,Comedy,Legendary,8,,0,1,detectivepotato.jpg,The city's strangest detective solves crimes with charm and starch.
Action_Velocity_Kill,Wild Horizons,Documentary,Rare,1,,0,0,wildhorizons.jpg,Speed is the only weapon left on the table.
Documentary_Border_Seeds,Beneath the Ice,Documentary,Epic,8,,0,0,beneaththeice.jpg,Farmers plant crops along disputed lines.
Documentary_City_of_Light,Giants Of The Deep,Documentary,Rare,8,,0,0,giantsofthedeep.jpg,Paris artisans keep ancient crafts alive.
Documentary_Hidden_Rivers,Hidden Rivers,Documentary,Rare,8,,0,0,hiddenrivers.jpg,Underground rivers mapped for the first time.
Documentary_Legendary,Voices of the Deep,Documentary,Legendary,8,,0,1,voiceofthedeep.jpg,The ocean still speaks to those willing to listen.
Documentary_Steel_and_Song,Life Above the Clouds,Documentary,Rare,8,,0,0,lifeabovetheclouds.jpg,Shipyard workers sing through shifts.
Documentary_The_Archivist,Cities Of Tomorrow,Documentary,Epic,8,,0,0,citiesoftomorrow.jpg,One person saves a nation's film heritage.
Documentary_The_Glassblower,Desert Kingdoms,Documentary,Epic,8,,0,0,desertkingdoms.jpg,Molten art in a family workshop.
Documentary_The_Last_Beekeeper,Secrets of the Reef,Documentary,Rare,8,,0,0,secretsofthereef.jpg,One hive may save a region's crops.
Documentary_Tracks_in_Dust,The Last Forest,Documentary,Rare,8,,0,0,thelastforest.jpg,Nomads crossing deserts for water.
Documentary_Voices_of_the_Deep_II,Edge Of The Volcano,Documentary,Epic,8,,0,0,edgeofthevolcano.jpg,Return to trenches no light reaches.
Drama_Blue_Hour,A Pl A Cec A Lled Tomorrow,Drama,Rare,2,,0,0,aplacecalledtomorrow.jpg,Twilight conversations that change everything.
Drama_Fading_Light,A Utumnh A Rbor,Drama,Rare,2,,0,0,autumnharbor.jpg,Care for the dying. Learn to let go.
Drama_Open_Field,Be For E The Rain,Drama,Rare,2,,0,0,beforetherain.jpg,Childhood friends meet where they once played.
Drama_Silent_Auction,Bene At Hquietw At Ers,Drama,Rare,2,,0,0,beneathquietwaters.jpg,A charity event exposes private shame.
Drama_Stone_Garden,Betweentwo Sea S On S,Drama,Rare,2,,0,0,betweentwoseasons.jpg,Grief grows into something unexpectedly alive.
Drama_Two_Rivers,The Bookshop On Ced A Rstreet,Drama,Rare,2,,0,0,thebookshoponcedarstreet.jpg,Two towns. One water rights war. One family.
Drama_Undertow,The Last Summer House,Drama,Rare,2,,0,0,thelastsummerhouse.jpg,Love pulls harder when the tide turns cruel.
Drama_Winter_Letters,Winter  Letters,Drama,Rare,2,winter_letters,1,0,winter letters.jpg,Old correspondence reveals a family fracture.
Drama_Ash_and_Honey,The Logest Sea S On,Drama,Rare,3,,0,0,thelogestseason.jpg,Bitterness and sweetness in the same jar.
Drama_Evening_Class,The L On G Road Home,Drama,Rare,3,,0,0,thelongroadhome.jpg,Adults learn to read and to hope again.
Drama_Field_Notes,The Oldpi An O,Drama,Rare,3,,0,0,theoldpiano.jpg,A journalist stays too long in a border town.
Drama_Ledger_of_Grace,The Quietshore,Drama,Rare,3,,0,0,thequietshore.jpg,Debts forgiven. Debts remembered.
Drama_Legendary,When the River Sleeps,Drama,Legendary,8,,0,1,when the river sleeps.jpg,A family secret surfaces when the drought ends and the river runs again.
Fantasy_Ash_Crown,The Emer A Ld To Wer,Fantasy,Rare,5,,0,0,theemeraldtower.jpg,Throne of embers passes to an unlikely ruler.
Fantasy_Dragon_s_Debt,The Forgotten M A Ge,Fantasy,Rare,5,,0,0,theforgottenmage.jpg,A dragon saved a village. The bill is due.
Fantasy_River_of_Stars,Beyond Frostpe A K,Fantasy,Epic,5,,0,0,beyondfrostpeak.jpg,A river flows upward carrying constellations.
Fantasy_Runebreaker,The Gate S Of Elderglen,Fantasy,Rare,5,,0,0,thegatesofelderglen.jpg,Break the rune. Break the curse. Break yourself.
Fantasy_Spellbound_Market,The Goldenst A G,Fantasy,Rare,5,,0,0,thegoldenstag.jpg,Magic traded like goods with fine print.
Fantasy_Starforge,The Hidden Grove,Fantasy,Rare,5,,0,0,thehiddengrove.jpg,Weapons forged from fallen stars decide a war.
Fantasy_The_Glass_Forest_III,Moon S To Ne Path,Fantasy,Epic,5,,0,0,moonstonepath.jpg,Forest walks toward the capital at dawn.
Fantasy_Throne_of_Thorns,The Cryst A L Forest,Fantasy,Epic,5,,0,0,thecrystalforest.jpg,Sit carefully. The throne bites back.
Fantasy_Witch_s_Bargain,The Kingdom Of Silent Moon S,Fantasy,Rare,5,,0,0,thekingdomofsilentmoons.jpg,Power offered. Price deferred. Never free.
Fantasy_Crown_of_Embers,The Last Dr A G On Keeper,Fantasy,Rare,6,,0,0,thelastdragonkeeper.jpg,Fire crown for a queen who hates heat.
Fantasy_Dragon_s_Echo,The Silvercrown,Fantasy,Rare,6,,0,0,thesilvercrown.jpg,An old dragon's voice guides a young thief.
Fantasy_Forgotten_Realm,The Star Bornqueen,Fantasy,Rare,6,,0,0,thestarbornqueen.jpg,Maps lie. The realm remembers.
Fantasy_Glass_Crown,Whisperw In D V A Lley,Fantasy,Rare,6,,0,0,whisperwind valley.jpg,Transparency as tyranny in a fairy court.
Fantasy_Legendary,Song of the Forgotten Realm,Fantasy,Legendary,8,,0,1,songoftheforgottenrealm.jpg,A lost melody can reopen a kingdom erased from history.
Horror_Borrowed_Skin,Black Wood Road,Horror,Rare,3,,0,0,blackwoodroad.jpg,Wear someone else's face for one night only.
Horror_Crimson_Static,Dead Silence Motel,Horror,Rare,3,,0,0,deadsilencemotel.jpg,Every radio plays the same dying breath.
Horror_Grave_Shift,House At Winter L A Ke,Horror,Rare,3,,0,0,houseatwinterlake.jpg,Night workers hear digging from empty plots.
Horror_Last_Rites,Red Creek,Horror,Rare,3,,0,0,redcreek.jpg,Funeral rites that refuse to end.
Horror_Moth_Parish,The Bellbene At H The L A Ke,Horror,Rare,3,,0,0,thebellbeneaththelake.jpg,Wings beat against every window at once.
Horror_Night_Garden,Bene At H A Sh Hill,Horror,Epic,3,,0,0,beneathashhill.jpg,Plants grow toward sleeping faces.
Horror_Pale_Door,The Empty Ch A Pel,Horror,Rare,3,,0,0,theemptychapel.jpg,A door appears where a wall should be solid.
Horror_Red_Nursery,The Forgotten Well,Horror,Rare,3,,0,0,theforgottenwell.jpg,A child's room painted in a color that moves.
Horror_Silent_Hive,The Last Bo A Dc A St,Horror,Rare,3,,0,0,thelastboadcast.jpg,Bees stop buzzing. Then people stop speaking.
Horror_Skinwalker_Line,The Vill A Ge With Out N A Mes,Horror,Rare,3,,0,0,thevillagewithoutnames.jpg,Tracks in the snow that change mid-stride.
Horror_The_Veil_Thin,The Watcher In Room12,Horror,Rare,3,,0,0,thewatcherinroom12.jpg,Boundaries between worlds wear thin at solstice.
Horror_Blackwater_Echo,The Whispering Woods,Horror,Rare,4,blackwater,1,0,thewhisperingwoods.jpg,Water carries voices from upstream crimes.
Horror_Legendary,The Hollow House,Horror,Legendary,8,,0,1,thehollowhouse.jpg,Every room remembers the scream that never left the walls.
Romance_Beneath_the_Summer_Sky_III,A Utumnpromise,Romance,Epic,6,,0,0,autumnpromise.jpg,Return to the place where it started.
Romance_Coffee_at_Dawn,The Book Of Us,Romance,Rare,6,,0,0,thebookofus.jpg,Daily coffee becomes daily devotion.
Romance_Crossed_Lines,The Last T Rain To P A Ris,Romance,Rare,6,,0,0,thelasttraintoparis.jpg,Phone wrong number. Right person.
Romance_Golden_Hour,Be For E Sun Rise,Romance,Epic,6,,0,0,beforesunrise.jpg,Photographers capture more than light.
Romance_Harbor_Lights,The Light Betweenus,Romance,Rare,6,,0,0,thelightbetweenus.jpg,Fishermen and poets share the same pier.
Romance_Letters_in_Rain,The Winter C A Fé,Romance,Rare,6,,0,0,TheWinterCAF.png,Love letters survive a stormy season.
Romance_Midnight_Train,Letters A Cross The Sea,Romance,Epic,6,,0,0,lettersacrossthesea.jpg,Share a compartment. Share a future.
Romance_Paper_Hearts,Mid Night In Ver On A,Romance,Epic,6,,0,0,midnightinverona.jpg,Origami notes left on park benches.
Romance_Paris_Delay,Where  The   Ocean  Meets  The   Sky,Romance,Rare,6,,0,0,where the ocean meets the sky.jpg,Missed flight. Found connection.
Romance_Quiet_Harbor,On Emore Summer,Romance,Epic,6,,0,0,onemoresummer.jpg,Small town. Big feelings. Gentle pace.
Romance_The_Long_Hello,Summer On Willowstreet,Romance,Epic,6,,0,0,summeronwillowstreet.jpg,Goodbye took years. Hello takes courage.
Romance_Legendary,A Sky for Two,Romance,Legendary,8,,0,1,askyfortwo.jpg,Two strangers share one horizon and one impossible choice.
SciFi_Core_Breach,Beyond Helios,SciFi,Rare,1,,0,0,beyondhelios.jpg,Drill too deep and something drills back.
SciFi_Phase_Shift,Dark Matter Protocol,SciFi,Rare,1,,0,0,darkmatterprotocol.jpg,A city flickers between dimensions at midnight.
SciFi_Stellar_Cartel,Event Horizon A Rr A Y,SciFi,Rare,1,,0,0,eventhorizonarray.jpg,Crime syndicates rule the asteroid belt.
SciFi_Atlas_Signal,The Drift,SciFi,Rare,3,atlas_signal,1,0,thedrift.jpg,A deep-space beacon wakes after centuries of silence.
SciFi_Deep_Archive,The Empty Colony,SciFi,Rare,3,atlas_signal,3,0,theemptycolony.jpg,Human history stored in a bunker on the moon.
SciFi_Ion_Storm,The Final Horizon,SciFi,Rare,3,atlas_signal,4,0,thefinalhorizon.jpg,Navigation fails. Instinct must succeed.
SciFi_Machine_Psalm,The Last Beacon,SciFi,Rare,3,dominion,4,0,thelastbeacon.jpg,Religion spreads among self-aware drones.
SciFi_Neural_Ghost,The Silent Galaxy,SciFi,Rare,3,dominion,2,0,thesilentgalaxy.jpg,A dead pilot still flies through the network.
SciFi_Code_Genesis,Ghost S Of Europa,SciFi,Rare,5,the_last_colony,6,0,ghostsofeuropa.jpg,Who wrote the first line of sentient software.
SciFi_Cryo_Wake,Signal From Below,SciFi,Rare,5,the_last_colony,2,0,signalfrombelow.jpg,Sleepers awaken to a world that forgot them.
SciFi_Gravity_Well,Silent Orbit,SciFi,Rare,5,the_last_colony,4,0,silentorbit.jpg,Rescue a probe trapped near a black hole.
SciFi_Orbital_Ransom,Station Eos,SciFi,Rare,5,the_last_colony,5,0,stationeos.jpg,Hold a station hostage from the inside.
SciFi_Terraformers,The Aether Collapse,SciFi,Rare,5,the_last_colony,3,0,theaethercollapse.jpg,Make a world livable. Unmake the old one.
SciFi_The_Last_Colony,The At L A S Paradox,SciFi,Rare,5,the_last_colony,1,0,theatlasparadox.jpg,Humanity's farthest settlement sends a distress call.
SciFi_Legendary,Echoes of Titan,SciFi,Legendary,8,,0,1,echoesoftitan.jpg,Humanity's farthest signal returns with a warning no one wants to hear.
Thriller_Cold_Case_Heat,Black A Rchive,Thriller,Rare,7,,0,0,blackarchive.jpg,Old evidence burns new trails.
Thriller_Glass_Witness,C A Se114,Thriller,Rare,7,,0,0,case114.jpg,Testimony recorded in a mirror maze.
Thriller_Night_Ledger,Dead Letter Of F Ice,Thriller,Rare,7,,0,0,deadletteroffice.jpg,Crimes booked after midnight never close.
Thriller_Proxy_Kill,Projectl A Z A Rus,Thriller,Rare,7,,0,0,projectlazarus.jpg,Assassin hired through layers of deniability.
Thriller_Red_File_12,Silenceevidence,Thriller,Rare,7,,0,0,silenceevidence.jpg,Earlier file. Same handler. Worse secrets.
Thriller_Red_File_27_II,The Dep A Rtmentbelow,Thriller,Rare,7,,0,0,thedepartmentbelow.jpg,The file reopens without authorization.
Thriller_Red_File_27_III,The Forgotten C A Se,Thriller,Rare,7,,0,0,theforgottencase.jpg,Case number changes. Truth does not.
Thriller_Red_Horizon,The Last Record In G,Thriller,Rare,7,,0,0,thelastrecording.jpg,Sunset industry hides dawn crimes.
Thriller_Shadow_Trigger_III,The Miss In Gwitness,Thriller,Rare,7,,0,0,themissingwitness.jpg,Conspiracy outlives its architects.
Thriller_Silent_Contract,The N In Thfloor,Thriller,Rare,7,,0,0,theninthfloor.jpg,Sign or disappear quietly.
Thriller_The_Black_Ledger_V,The Shadow Network,Thriller,Rare,7,,0,0,theshadownetwork.jpg,Ledger closed. Lives are not.
Thriller_Legendary,Red File 27,Thriller,Legendary,8,,0,1,redfile27.jpg,Case closed does not mean case finished.
